"","koi_disposition","koi_fpflag_nt","koi_fpflag_ss","koi_fpflag_co","koi_fpflag_ec","koi_period","koi_time0bk","koi_duration","ra","dec"
"21","FALSE POSITIVE",0,1,1,1,2.696370652,170.73769,3.6129,283.76547,47.804298
"22","CONFIRMED",0,0,0,0,5.349553819,171.80694,3.0278,292.37613,47.880989
"23","CONFIRMED",0,0,0,0,3.94105221,136.08662,2.5984,292.37613,47.880989
"24","CONFIRMED",0,0,0,0,8.10904807,132.8031,3.596,292.37613,47.880989
"25","FALSE POSITIVE",0,1,0,0,386.6030528,166.342079,6.8057,292.27374,37.671558
"26","CONFIRMED",0,0,0,0,21.67699193,171.53594,3.4555,290.46512,47.92918
"27","CONFIRMED",0,0,0,0,4.99677968,171.74208,2.1717,297.80826,47.946671
"28","CONFIRMED",0,0,0,0,4.280963604,171.89659,2.875,294.26581,49.314091
"29","FALSE POSITIVE",0,0,1,0,1.50635409,170.998064,1.5155,295.66522,49.351009
"30","FALSE POSITIVE",1,0,0,0,670.645531,209.04355,53.412,296.69861,49.316479
"31","FALSE POSITIVE",0,1,0,0,61.2563628,173.83826,7.633,283.72592,49.479519
"32","CONFIRMED",0,0,0,0,38.3775486,172.82048,5.588,291.72202,49.480869
"33","CONFIRMED",0,0,0,0,41.19725502,165.00404,4.6297,286.99948,48.37579
"34","CONFIRMED",0,0,0,0,6.252962249,171.30126,2.5819,286.99948,48.37579
"35","CONFIRMED",0,0,0,0,16.01308419,176.3608,3.2554,297.02563,48.478588
"36","CONFIRMED",0,0,0,0,32.62876672,194.1019,4.7971,285.71854,48.505859
"37","CONFIRMED",0,0,0,0,91.7732862,193.8378,6.473,285.71854,48.505859
"38","CANDIDATE",0,0,0,0,4.959319244,172.2585292,2.22739,292.16705,48.727589
"39","FALSE POSITIVE",0,1,1,0,2.701287801,170.69579,3.3827,297.92365,48.777321
"40","CONFIRMED",0,0,0,0,4.49876511,171.34905,3.7362,298.45685,48.791592
"41","FALSE POSITIVE",0,1,0,0,19.651209505,179.401981,5.2514,291.0939,48.933842
"42","CONFIRMED",0,0,0,0,5.412203927,133.143089,2.9472,287.88733,46.276241
"43","CONFIRMED",0,0,0,0,41.43958662,208.93203,10.5989,295.55505,49.017342
"44","CONFIRMED",0,0,0,0,8.35389523,171.63257,2.2514,285.49924,49.277351
"45","CONFIRMED",0,0,0,0,4.125543472,169.752585,3.1744,291.93616,49.253979
"46","CONFIRMED",0,0,0,0,2.816504904,170.9676846,2.50587,297.01547,49.225288
"47","FALSE POSITIVE",0,1,1,0,33.93373447,186.67608,14.561,284.17233,49.360722
"48","CONFIRMED",0,0,0,0,3.689920099,170.36571,2.6557,291.62241,50.61824
"49","CONFIRMED",0,0,0,0,4.431238488,171.015,3.15,295.81616,51.121738
"50","CONFIRMED",0,0,0,0,11.37936986,133.84992,2.6255,295.81616,51.121738
"51","CONFIRMED",0,0,0,0,26.39432897,176.05459,3.573,289.39972,51.25032
"52","CONFIRMED",0,0,0,0,13.57078281,136.279194,3.3539,300.86398,44.337551
"53","CONFIRMED",0,0,0,0,7.12594387,139.00492,3.0014,287.88733,46.276241
"54","FALSE POSITIVE",0,1,0,0,7.442652004,169.9717797,2.3078,288.98682,49.733742
"55","CONFIRMED",0,0,0,0,16.38489988,172.72782,3.0249,286.73804,49.97575
"56","CONFIRMED",0,0,0,0,7.8774163,176.3759,2.0805,286.73804,49.97575
"57","CONFIRMED",0,0,0,0,36.4454001,151.60125,4.007,286.73804,49.97575
"58","CONFIRMED",0,0,0,0,3.728732147,171.793255,2.683,290.78574,50.054119
"59","CANDIDATE",0,0,0,0,40.4195037,173.56469,3.362,294.31686,50.080231
"60","CONFIRMED",0,0,0,0,2.243380573,170.679233,1.1196,285.17621,50.149818
"61","FALSE POSITIVE",0,1,0,0,10.405998015,177.197466,6.5036,289.23553,50.241001
"62","CONFIRMED",0,0,0,0,2.337437946,171.761982,1.9982,293.83331,50.23035
"63","CANDIDATE",0,0,0,0,7.2406612,137.75545,0.558,293.83331,50.23035
"64","CANDIDATE",0,0,0,0,3.43591631,132.6624,3.133,287.88733,46.276241
"65","CONFIRMED",0,0,0,0,11.59822233,180.395376,2.5237,296.22195,50.28722
"66","CONFIRMED",0,0,0,0,6.575315881,173.634044,4.3084,290.09805,50.321609
"67","CONFIRMED",0,0,0,0,7.275040844,169.994217,7.5377,295.45529,50.49456
"68","CONFIRMED",0,0,0,0,19.27153892,186.77093,2.7594,293.97336,50.53191
"69","CONFIRMED",0,0,0,0,10.06524317,136.28906,1.369,293.97336,50.53191
"70","CONFIRMED",0,0,0,0,12.3935651,178.74725,3.8896,296.02133,50.56778
"71","CONFIRMED",0,0,0,0,43.84439721,151.93538,6.802,300.86398,44.337551
"72","FALSE POSITIVE",0,1,1,0,3.341913228,171.63943,3.813,292.31595,38.27029
"73","CANDIDATE",0,0,0,0,1.626630225,169.820171,2.1145,294.36819,38.31028
"74","CONFIRMED",0,0,0,0,2.711504086,170.03417,3.0099,291.65353,38.494659
"75","CONFIRMED",0,0,0,0,7.21203748,172.81782,4.0491,291.65353,38.494659
"76","FALSE POSITIVE",0,0,0,1,14.1798187,171.50237,2.505,291.0448,51.321671
"77","CONFIRMED",0,0,0,0,8.47237911,174.16212,2.7245,296.36652,51.319519
"78","CONFIRMED",0,0,0,0,60.4189369,181.16367,5.039,296.36652,51.319519
"79","CONFIRMED",0,0,0,0,12.611904345,180.892284,5.1497,289.11221,51.737381
"80","FALSE POSITIVE",0,1,0,0,1.433769925,170.403536,1.8868,290.84369,37.728828
"81","FALSE POSITIVE",0,1,1,0,10.31872301,173.31543,3.836,291.84891,37.713501
"82","CONFIRMED",0,0,0,0,2.539183147,169.67494,2.4282,291.43997,37.905659
"83","CONFIRMED",0,0,0,0,6.770300385,170.57662,2.0844,290.87051,38.273628
"84","FALSE POSITIVE",0,1,1,1,0.444291966,169.865406,2.0792,290.99689,38.28492
"85","CANDIDATE",0,0,0,0,10.181584004,177.141891,3.5089,291.28195,38.241669
"86","CONFIRMED",0,0,0,0,20.06036336,147.46554,3.3203,286.07913,39.27832
"87","CONFIRMED",0,0,0,0,46.1842039,165.23729,4.758,286.07913,39.27832
"88","CONFIRMED",0,0,0,0,23.9800854,147.537,5.351,300.86398,44.337551
"89","CONFIRMED",0,0,0,0,7.82502168,136.54995,2.186,286.07913,39.27832
"90","CONFIRMED",0,0,0,0,3.895936525,170.527552,2.3111,294.65524,39.308361
"91","CONFIRMED",0,0,0,0,22.36646466,175.45862,5.228,294.71063,39.52174
"92","CONFIRMED",0,0,0,0,1.625522174,170.8266564,2.38963,293.87192,38.422939
"93","CANDIDATE",0,0,0,0,19.620346923,181.881819,2.0038,293.81619,38.563568
"94","FALSE POSITIVE",1,0,1,0,7.544039,171.7982,6.222,293.94116,38.601101
"95","CANDIDATE",0,0,0,0,9.02930689,177.20422,3.1449,290.33362,38.72823
"96","FALSE POSITIVE",0,1,0,0,10.328035714,174.581054,7.7915,287.69675,38.886452
"97","CONFIRMED",0,0,0,0,143.2063047,154.23552,8.9302,285.28363,38.947281
"98","CONFIRMED",0,0,0,0,6.164876,135.63916,3.262,300.86398,44.337551
"99","CONFIRMED",0,0,0,0,60.32494216,243.892578,6.6188,285.28363,38.947281
"100","CONFIRMED",0,0,0,0,29.1598615,150.69922,4.803,285.28363,38.947281
"101","FALSE POSITIVE",0,0,1,1,1.540397253,170.50479,2.1541,286.92639,38.921631
"102","FALSE POSITIVE",0,0,1,1,2.99025443,171.9834,5.414,287.74881,38.92955
"103","CONFIRMED",0,0,0,0,1.594745374,170.6483505,1.9604,285.21381,39.027481
"104","CANDIDATE",0,0,0,0,4.783002698,170.508434,2.335,287.09399,39.060719
"105","CONFIRMED",0,0,0,0,20.50588921,181.43428,4.0595,289.31543,39.153278
"106","CONFIRMED",0,0,0,0,3.340218842,171.979062,1.9104,286.07913,39.27832
"107","FALSE POSITIVE",0,1,1,0,2.507089906,171.002455,2.0067,295.37805,40.493401
"108","CONFIRMED",0,0,0,0,18.64932728,174.771,4.4056,290.46176,40.562462
"109","CONFIRMED",0,0,0,0,4.90144976,138.60548,4.1654,297.02826,48.208611
"110","CONFIRMED",0,0,0,0,9.75192101,138.78608,4.793,290.46176,40.562462
"111","CONFIRMED",0,0,0,0,38.5576546,163.85063,5.794,290.46176,40.562462
"112","CONFIRMED",0,0,0,0,3.525632539,170.0479951,2.59959,290.58173,40.5774
"113","CANDIDATE",0,0,0,0,34.84398644,172.633252,2.9315,285.92001,39.624828
"114","CONFIRMED",0,0,0,0,7.748094239,174.997206,3.5957,294.4899,39.771439
"115","CONFIRMED",0,0,0,0,23.96793669,186.22182,3.827,283.86639,39.898079
"116","CONFIRMED",0,0,0,0,8.11437482,176.33968,2.2736,288.81201,40.033401
"117","FALSE POSITIVE",0,1,0,0,38.036729482,196.934947,4.34617,294.14789,40.055538
"118","FALSE POSITIVE",0,1,0,0,4.64090031,173.64638,35.512,295.11371,40.071171
"119","FALSE POSITIVE",0,1,1,1,3.747838198,171.66504,5.0642,291.06152,50.265129
"120","CONFIRMED",0,0,0,0,14.74914825,138.77799,6.0995,297.02826,48.208611
"121","CONFIRMED",0,0,0,0,21.81295996,174.01085,4.3791,294.77686,40.15374
"122","FALSE POSITIVE",0,1,0,0,7.91936937,172.181092,3.3148,283.53845,40.217999
"123","CANDIDATE",0,0,0,0,1.028436523,170.228582,1.8606,296.00699,40.295429
"124","CONFIRMED",0,0,0,0,15.37562369,173.61402,3.3169,283.25354,40.358189
"125","CONFIRMED",0,0,0,0,8.10363271,176.9486,3.161,283.22141,40.421829
"126","CONFIRMED",0,0,0,0,4.71510843,134.96178,2.506,283.22141,40.421829
"127","CONFIRMED",0,0,0,0,6.365839713,171.13575,2.9721,291.14951,40.420521
"128","FALSE POSITIVE",0,0,1,0,5.97581754,174.77602,3.065,294.22397,40.417858
"129","FALSE POSITIVE",0,0,1,1,2.446737317,170.66951,4.7211,298.96112,40.862808
"130","CONFIRMED",0,0,0,0,3.04033046,169.9490106,1.8411,299.3161,40.82238
"131","CONFIRMED",0,0,0,0,15.33528675,174.00278,3.897,292.23676,41.08588
"132","CONFIRMED",0,0,0,0,7.95825328,137.80219,4.377,297.02826,48.208611
"133","CONFIRMED",0,0,0,0,31.33046135,153.43031,5.176,292.23676,41.08588
"134","FALSE POSITIVE",0,1,0,0,3.9043425,173.393734,3.831,294.05676,40.549679
"135","FALSE POSITIVE",0,1,0,0,9.286358079,171.8214689,3.49949,294.74396,40.53392
"136","FALSE POSITIVE",0,1,0,0,3.951405455,173.276125,2.1862,295.50439,40.505489
"137","CONFIRMED",0,0,0,0,23.65369415,171.376107,8.2183,287.89713,40.637821
"138","CONFIRMED",0,0,0,0,13.23352214,140.32196,6.7372,287.89713,40.637821
"139","CONFIRMED",0,0,0,0,6.15560285,134.81656,4.9843,287.89713,40.637821
"140","CONFIRMED",0,0,0,0,2.090811305,134.17462,3.388,287.89713,40.637821
"141","CONFIRMED",0,0,0,0,3.180027898,133.49863,3.5797,297.02826,48.208611
"142","CONFIRMED",0,0,0,0,50.4467417,178.5014,7.159,287.89713,40.637821
"143","CONFIRMED",0,0,0,0,11.76307164,180.93613,2.9076,294.20215,40.66341
"144","CONFIRMED",0,0,0,0,56.2279271,132.29259,3.57,294.20215,40.66341
"145","FALSE POSITIVE",0,1,1,1,2.384052875,171.58362,3.0918,299.64285,40.691238
"146","CONFIRMED",0,0,0,0,7.953547,174.66224,2.6312,291.15878,40.750271
"147","CONFIRMED",0,0,0,0,4.14451656,135.92831,2.3421,291.15878,40.750271
"148","FALSE POSITIVE",0,1,0,0,4.859386384,173.011469,2.2757,292.21436,40.759762
"149","CONFIRMED",0,0,0,0,10.526294577,176.522462,2.5211,293.87811,41.66177
"150","CONFIRMED",0,0,0,0,4.583520948,169.973972,2.7055,299.18686,41.74268
"151","CONFIRMED",0,0,0,0,3.76181843,171.90364,3.5176,283.31638,41.83712
"152","CONFIRMED",0,0,0,0,8.20396958,169.69138,2.9667,286.5657,41.808399
"153","CONFIRMED",0,0,0,0,14.49645186,143.41659,4.016,286.5657,41.808399
"154","CANDIDATE",0,0,0,0,6.54626149,133.85964,2.75,292.23676,41.08588
"155","CONFIRMED",0,0,0,0,12.71809866,175.35526,3.0957,292.91312,41.060921
"156","CONFIRMED",0,0,0,0,36.06588163,198.58423,4.3246,292.91312,41.060921
"157","CONFIRMED",0,0,0,0,4.190425659,171.44122,2.8589,293.49661,41.137589
"158","CONFIRMED",0,0,0,0,3.709870784,171.987982,3.0694,283.86441,41.346458
"159","CONFIRMED",0,0,0,0,16.3297527,177.29506,6.271,288.51001,41.301769
"160","CONFIRMED",0,0,0,0,27.807566216,186.713552,4.21587,296.88821,41.396091
"161","CONFIRMED",0,0,0,0,80.8723469,203.895,11.195,287.1543,41.565788
"162","FALSE POSITIVE",0,1,1,0,3.166465862,172.002627,2.9381,284.86929,41.679192
"163","CONFIRMED",0,0,0,0,24.99324319,138.68167,5.9409,287.36279,38.649601
"164","CONFIRMED",0,0,0,0,10.35533116,170.93729,3.1775,288.9942,41.633282
"165","CONFIRMED",0,0,0,0,16.08518937,180.28319,3.984,292.10519,42.380322
"166","CANDIDATE",0,0,0,0,235.9986399,208.399822,8.2284,293.00797,42.307201
"167","CONFIRMED",0,0,0,0,7.49018305,174.95037,2.7297,291.63898,42.436321
"168","CONFIRMED",0,0,0,0,36.2761238,201.2869,4.7865,291.63898,42.436321
"169","CONFIRMED",0,0,0,0,17.46087931,137.26594,2.2641,291.63898,42.436321
"170","CONFIRMED",0,0,0,0,56.0560754,201.16578,4.685,289.50848,41.812119
"171","CONFIRMED",0,0,0,0,41.408316686,195.78745,5.0264,291.76041,41.944069
"172","CANDIDATE",0,0,0,0,39.74893077,172.854644,7.3051,293.17929,41.969238
"173","CONFIRMED",0,0,0,0,5.715425977,174.87931,2.5242,285.11047,42.033958
"174","CONFIRMED",0,0,0,0,49.18394185,141.911924,11.3364,294.55917,46.062328
"175","CONFIRMED",0,0,0,0,20.0261412,146.91109,1.611,285.11047,42.033958
"176","FALSE POSITIVE",0,1,0,0,13.61014819,173.987319,2.594,289.89777,42.009151
"177","FALSE POSITIVE",0,1,1,1,10.44331991,175.4046,2.743,286.24356,42.148811
"178","CONFIRMED",0,0,0,0,2.237489571,170.81914,1.8119,290.00757,42.116459
"179","FALSE POSITIVE",0,1,0,0,5.851520671,173.8228336,3.11058,284.08731,42.233231
"180","CONFIRMED",0,0,0,0,3.167893418,172.147959,2.1814,293.81647,42.212502
"181","CONFIRMED",0,0,0,0,4.311780262,173.576483,2.7251,287.24268,42.301369
"182","CONFIRMED",0,0,0,0,20.0504494,188.08821,4.556,287.24268,42.301369
"183","CONFIRMED",0,0,0,0,9.76734503,186.57718,1.6585,287.24268,42.301369
"184","CANDIDATE",0,0,0,0,119.0207044,222.236492,8.1405,291.58377,42.36816
"185","CONFIRMED",0,0,0,0,190.3200468,312.68498,15.284,294.55917,46.062328
"186","FALSE POSITIVE",0,1,1,0,2.861159894,171.648106,1.8832,291.67172,42.343109
"187","CONFIRMED",0,0,0,0,26.44439337,194.12074,3.9783,292.87338,42.966141
"188","CONFIRMED",0,0,0,0,51.53997972,174.055011,6.3994,292.87338,42.966141
"189","CONFIRMED",0,0,0,0,5.902245782,136.78393,2.9003,292.87338,42.966141
"190","CONFIRMED",0,0,0,0,2.382951591,135.080841,1.8876,292.87338,42.966141
"191","CONFIRMED",0,0,0,0,21.02250608,207.67593,4.1072,294.90973,42.935261
"192","CONFIRMED",0,0,0,0,3.219814777,133.00406,2.0642,291.63898,42.436321
"193","CONFIRMED",0,0,0,0,5.912273234,172.184012,2.3254,292.13702,42.42942
"194","CONFIRMED",0,0,0,0,8.98581901,175.68418,2.8606,292.13702,42.42942
"195","FALSE POSITIVE",0,1,0,0,12.940668656,179.423014,2.4845,291.11969,42.507069
"196","CANDIDATE",0,0,0,0,20.5452375,137.91394,2.517,294.40192,50.172089
"197","CONFIRMED",0,0,0,0,33.60123371,186.680343,4.4056,289.26874,42.604172
"198","CONFIRMED",0,0,0,0,6.76652928,138.0637,2.9004,289.26874,42.604172
"199","CONFIRMED",0,0,0,0,4.347288783,172.23343,2.1024,291.96417,42.69614
"200","CONFIRMED",0,0,0,0,4.601811819,169.98108,2.2607,296.48343,42.663429
"201","CONFIRMED",0,0,0,0,11.18719905,137.17814,3.252,296.48343,42.663429
"202","CANDIDATE",0,0,0,0,4.220965778,170.622433,3.0854,296.69394,42.62611
"203","FALSE POSITIVE",0,1,0,0,6.998099523,171.898913,2.0488,287.88412,42.832439
"204","CONFIRMED",0,0,0,0,5.95489993,170.955871,2.3892,293.63696,42.82497
"205","CONFIRMED",0,0,0,0,12.03987488,181.22536,2.7363,293.63696,42.82497
"206","CONFIRMED",0,0,0,0,20.83762895,132.08488,2.3734,293.63696,42.82497
"207","FALSE POSITIVE",0,1,1,1,8.8111022,136.4568,5.0683,294.46088,38.383461
"208","CONFIRMED",0,0,0,0,23.58917143,173.81994,5.073,297.46002,42.83992
"209","CONFIRMED",0,0,0,0,6.481633073,122.977657,3.784,290.39273,40.28487
"210","CONFIRMED",0,0,0,0,10.37168928,172.61729,3.035,290.39322,43.363899
"211","CANDIDATE",0,0,0,0,3.96996298,137.75447,1.1757,290.39322,43.363899
"212","CONFIRMED",0,0,0,0,4.40841331,172.18582,5.012,292.96555,43.34639
"213","FALSE POSITIVE",0,1,1,1,7.9426176,174.52563,6.703,299.00143,43.399632
"214","CONFIRMED",0,0,0,0,226.8904775,207.35971,7.558,294.90973,42.935261
"215","FALSE POSITIVE",0,1,0,0,1.956811408,170.694208,2.1958,295.83536,42.943062
"216","CANDIDATE",0,0,0,0,2.688899233,170.1020904,2.11275,296.68307,42.967869
"217","CONFIRMED",0,0,0,0,9.439459486,177.186096,2.8979,288.64252,43.039291
"218","CONFIRMED",0,0,0,0,11.523067458,131.969055,3.8757,284.48245,44.398041
"219","CONFIRMED",1,0,0,0,20.47748843,178.66786,2.8364,288.64252,43.039291
"220","CONFIRMED",0,0,0,0,3.336123113,135.31623,1.9616,288.64252,43.039291
"221","CONFIRMED",0,0,0,0,8.01078456,170.20739,2.312,294.77393,43.056301
"222","CONFIRMED",0,0,0,0,12.07134205,143.45948,4.3224,294.77393,43.056301
"223","CONFIRMED",0,0,0,0,20.99587872,152.31554,2.6333,294.77393,43.056301
"224","CONFIRMED",0,0,0,0,7.41113177,175.34754,2.5242,295.65149,43.029831
"225","FALSE POSITIVE",0,1,0,0,1.000747038,169.974229,0.9967,297.97513,43.164909
"226","CONFIRMED",0,0,0,0,8.884922995,169.991686,2.07004,291.1376,36.577381
"227","CONFIRMED",0,0,0,0,8.09888906,176.623731,4.20241,282.69952,43.272739
"228","CONFIRMED",0,0,0,0,10.00653012,176.96898,5.344,283.63077,43.379398
"229","CONFIRMED",0,0,0,0,17.855221681,146.596466,7.41287,297.45374,41.01099
"230","CANDIDATE",0,0,0,0,12.732624065,176.939054,2.2083,285.16748,43.876339
"231","CANDIDATE",0,0,0,0,83.92494032,236.76334,6.7904,287.85239,43.897991
"232","CONFIRMED",0,0,0,0,5.007316661,173.433997,4.2362,295.53613,43.884449
"233","CONFIRMED",0,0,0,0,2.211116989,170.150139,1.6485,285.16833,44.026459
"234","CONFIRMED",0,0,0,0,27.9541337,178.73791,3.95,285.16833,44.026459
"235","CONFIRMED",0,1,0,0,12.69104387,137.12594,3.7727,292.92914,48.60281
"236","FALSE POSITIVE",0,1,0,0,4.409409243,171.89433,3.8636,296.41019,43.455391
"237","CONFIRMED",0,0,0,0,16.23947096,175.569907,4.0374,293.0614,43.58136
"238","CONFIRMED",0,0,0,0,6.308201629,174.047661,2.9785,293.0614,43.58136
"239","CONFIRMED",0,0,0,0,2.052349884,169.890622,2.0778,299.56189,43.503559
"240","CONFIRMED",0,0,0,0,9.7704486,175.71372,2.4517,282.23251,43.66563
"241","CONFIRMED",0,0,0,0,5.169804269,172.63153,2.153,282.23251,43.66563
"242","CONFIRMED",0,0,0,0,21.22261195,137.57403,6.5093,290.39273,40.28487
"243","CONFIRMED",0,0,0,0,20.09017037,147.97788,4.154,282.23251,43.66563
"244","CONFIRMED",0,0,0,0,7.11373257,174.32351,2.1764,296.98505,43.65852
"245","CONFIRMED",0,0,0,0,3.306551643,134.37211,1.8177,296.98505,43.65852
"246","CONFIRMED",0,0,0,0,15.36845737,147.38965,2.4714,296.98505,43.65852
"247","CANDIDATE",0,0,0,0,13.81020318,172.33533,3.048,281.96063,43.70311
"248","CONFIRMED",0,0,0,0,4.093578461,171.00954,2.5833,290.26328,44.55645
"249","CONFIRMED",0,0,0,0,105.145959,178.367,8.593,290.26328,44.55645
"250","CONFIRMED",0,0,0,0,10.8484518,171.80584,2.9993,295.57935,44.545959
"251","CONFIRMED",0,0,0,0,6.66833241,137.43988,1.915,295.57935,44.545959
"252","CONFIRMED",0,0,0,0,4.082274889,169.6375652,3.23015,284.83047,44.658138
"253","CANDIDATE",0,0,0,0,3.886655224,169.73814,3.1646,288.72665,44.60751
"254","CONFIRMED",0,0,0,0,42.1406089,139.0604,5.083,285.16833,44.026459
"255","CONFIRMED",0,0,0,0,4.617490562,135.04909,2.2618,285.16833,44.026459
"256","CONFIRMED",0,0,0,0,10.19849255,137.92067,2.4283,285.16833,44.026459
"257","FALSE POSITIVE",0,1,1,0,5.795063956,172.697467,3.2496,296.50754,44.036072
"258","CONFIRMED",0,0,0,0,7.15681552,174.13511,2.5882,289.59476,44.141949
"259","CONFIRMED",0,0,0,0,17.64830851,133.54533,2.0873,289.59476,44.141949
"260","CONFIRMED",0,0,0,0,4.14810719,133.3881,2.535,289.59476,44.141949
"261","CONFIRMED",0,0,0,0,16.51410989,176.11686,4.1575,296.56622,44.105862
"262","CONFIRMED",0,0,0,0,30.1329298,190.38336,5.172,296.56622,44.105862
"263","CONFIRMED",0,0,0,0,4.79090809,136.31106,2.603,296.56622,44.105862
"264","CONFIRMED",0,0,0,0,31.71981013,142.82083,4.819,292.92914,48.60281
"265","CONFIRMED",0,0,0,0,99.6415962,198.68664,4.448,296.56622,44.105862
"266","CONFIRMED",0,0,0,0,4.708326451,171.446507,3.16114,298.63565,44.17094
"267","FALSE POSITIVE",0,0,1,1,16.37198661,172.75926,3.8449,298.67862,44.175499
"268","CONFIRMED",0,0,0,0,5.392026903,171.72707,2.9804,284.43051,44.48053
"269","CANDIDATE",0,0,0,0,2.494170338,170.852848,1.1221,284.75943,45.599129
"270","CONFIRMED",0,0,0,0,6.491682808,174.633553,4.301,285.55481,45.578861
"271","FALSE POSITIVE",0,1,1,1,3.044770796,172.01916,10.0134,293.68494,45.51683
"272","CONFIRMED",0,0,0,0,3.855603916,170.6787843,3.2179,296.39316,45.568562
"273","FALSE POSITIVE",0,0,1,1,3.855599139,170.67957,3.183,296.39542,45.56992
"274","CONFIRMED",0,0,0,0,38.47876629,151.852812,5.04169,288.90222,49.370491
"275","FALSE POSITIVE",0,1,0,0,37.601661282,194.713383,8.30604,282.30603,44.714661
"276","CONFIRMED",0,0,0,0,3.314947362,171.313058,1.8007,293.45483,44.792789
"277","FALSE POSITIVE",0,1,1,0,6.71969089,173.35776,3.0231,301.04956,44.706299
"278","CONFIRMED",0,0,0,0,39.6431552,206.596798,6.5292,283.97751,44.811562
"279","FALSE POSITIVE",0,1,0,0,51.42598578,173.535933,16.9422,290.63898,44.806789
"280","CONFIRMED",0,0,0,0,21.80451611,190.49737,3.4097,291.71732,44.88731
"281","CONFIRMED",0,0,0,0,10.28194593,175.33988,3.4366,291.84198,44.858089
"282","CONFIRMED",0,0,0,0,18.11993039,182.61535,4.2309,291.84198,44.858089
"283","CONFIRMED",0,0,0,0,3.78402867,133.28133,1.9012,291.84198,44.858089
"284","CONFIRMED",0,0,0,0,5.15448142,171.6389,3.228,294.84689,45.034409
"285","FALSE POSITIVE",1,0,0,0,33.80364366,202.259731,11.4813,297.47586,41.114288
"286","CONFIRMED",0,0,0,0,5.743469797,174.898924,3.4412,291.09235,45.115528
"287","CANDIDATE",0,0,0,0,39.4759093,173.31207,2.968,291.20804,45.244389
"288","FALSE POSITIVE",0,1,0,0,19.974485239,171.6300909,4.23479,289.72748,45.367661
"289","CONFIRMED",0,0,0,0,3.166353562,170.966145,3.3129,286.36011,45.414291
"290","FALSE POSITIVE",0,1,0,0,23.899634407,188.982797,3.81881,294.71768,45.48576
"291","CONFIRMED",0,0,0,0,3.388012244,170.5336,2.6849,292.58044,46.097389
"292","CONFIRMED",0,0,0,0,5.83909761,132.09261,3.1915,292.58044,46.097389
"293","CONFIRMED",0,0,0,0,1.620467654,132.06388,2.1888,292.58044,46.097389
"294","CONFIRMED",0,0,0,0,10.6816951,131.55082,3.605,292.58044,46.097389
"295","CONFIRMED",0,0,0,0,6.104849417,169.573477,4.6912,297.04562,46.027359
"296","CONFIRMED",0,0,0,0,3.578780566,134.0304187,2.91089,289.60797,44.345421
"297","FALSE POSITIVE",0,1,1,0,3.187067566,171.64976,3.119,297.78848,45.565418
"298","CONFIRMED",0,0,0,0,5.826657508,173.011411,2.9183,288.1647,45.816509
"299","CONFIRMED",0,0,0,0,12.41216347,142.54039,3.739,288.1647,45.816509
"300","CONFIRMED",0,0,0,0,18.74649011,147.13074,3.895,288.1647,45.816509
"301","CONFIRMED",0,0,0,0,20.86021229,180.017757,5.1937,294.02301,45.853081
"302","CONFIRMED",0,0,0,0,42.63427848,141.16954,6.1998,294.02301,45.853081
"303","CONFIRMED",0,0,0,0,87.6476068,134.94222,8.871,294.02301,45.853081
"304","CANDIDATE",0,0,0,0,9.61731426,142.47479,3.8692,294.02301,45.853081
"305","CONFIRMED",0,0,0,0,9.467821474,178.415842,2.4327,283.73203,45.958771
